x_true 	 x_rec 
5.378060e-06 	 5.378060e-06
5.619366e-06 	 5.619366e-06
5.863536e-06 	 5.863536e-06
6.110343e-06 	 6.110343e-06
6.359555e-06 	 6.359555e-06
6.610935e-06 	 6.610935e-06
6.864240e-06 	 6.864240e-06
7.119221e-06 	 7.119221e-06
7.375625e-06 	 7.375625e-06
7.633192e-06 	 7.633192e-06
7.891659e-06 	 7.891659e-06
8.150754e-06 	 8.150754e-06
8.410203e-06 	 8.410203e-06
8.669724e-06 	 8.669724e-06
8.929030e-06 	 8.929030e-06
9.187831e-06 	 9.187831e-06
9.445828e-06 	 9.445828e-06
9.702719e-06 	 9.702719e-06
9.958195e-06 	 9.958195e-06
1.021194e-05 	 1.021194e-05
1.046364e-05 	 1.046364e-05
1.071297e-05 	 1.071297e-05
1.095960e-05 	 1.095960e-05
1.120318e-05 	 1.120318e-05
1.144339e-05 	 1.144339e-05
1.167988e-05 	 1.167988e-05
1.191228e-05 	 1.191228e-05
1.214025e-05 	 1.214025e-05
1.236343e-05 	 1.236343e-05
1.258143e-05 	 1.258143e-05
1.279390e-05 	 1.279390e-05
1.300045e-05 	 1.300045e-05
1.320069e-05 	 1.320069e-05
1.339424e-05 	 1.339424e-05
1.358070e-05 	 1.358070e-05
1.375967e-05 	 1.375967e-05
1.393075e-05 	 1.393075e-05
1.409351e-05 	 1.409351e-05
1.424755e-05 	 1.424755e-05
1.439244e-05 	 1.439244e-05
1.452775e-05 	 1.452775e-05
1.465304e-05 	 1.465304e-05
1.476789e-05 	 1.476789e-05
1.487184e-05 	 1.487184e-05
1.496445e-05 	 1.496445e-05
1.504526e-05 	 1.504526e-05
1.511380e-05 	 1.511380e-05
1.516961e-05 	 1.516961e-05
1.521223e-05 	 1.521223e-05
1.524116e-05 	 1.524116e-05
1.525593e-05 	 1.525593e-05
1.525606e-05 	 1.525606e-05
1.524104e-05 	 1.524104e-05
1.521037e-05 	 1.521037e-05
1.516356e-05 	 1.516356e-05
1.510010e-05 	 1.510010e-05
1.501945e-05 	 1.501945e-05
1.492112e-05 	 1.492112e-05
1.480456e-05 	 1.480456e-05
1.466925e-05 	 1.466925e-05
1.451465e-05 	 1.451465e-05
1.434022e-05 	 1.434022e-05
1.414540e-05 	 1.414540e-05
1.392965e-05 	 1.392965e-05
1.369240e-05 	 1.369240e-05
1.343309e-05 	 1.343309e-05
1.315116e-05 	 1.315116e-05
1.284601e-05 	 1.284601e-05
1.251708e-05 	 1.251708e-05
1.216378e-05 	 1.216378e-05
1.178551e-05 	 1.178551e-05
1.138168e-05 	 1.138168e-05
1.095168e-05 	 1.095168e-05
1.049491e-05 	 1.049491e-05
1.001075e-05 	 1.001075e-05
9.498586e-06 	 9.498586e-06
8.957787e-06 	 8.957787e-06
8.387725e-06 	 8.387725e-06
7.787764e-06 	 7.787764e-06
7.157264e-06 	 7.157264e-06
6.495578e-06 	 6.495578e-06
5.802054e-06 	 5.802054e-06
5.076035e-06 	 5.076035e-06
4.316857e-06 	 4.316857e-06
3.523851e-06 	 3.523851e-06
2.696345e-06 	 2.696345e-06
1.833659e-06 	 1.833659e-06
9.351070e-07 	 9.351070e-07
0.000000e+00 	 -9.385920e-19
0.000000e+00 	 -8.617166e-19
1.489661e-08 	 1.489661e-08
5.957554e-08 	 5.957554e-08
1.340041e-07 	 1.340041e-07
2.381276e-07 	 2.381276e-07
3.718698e-07 	 3.718698e-07
5.351324e-07 	 5.351324e-07
7.277955e-07 	 7.277955e-07
